year,institution,patient_status,sex,value,footnote_marker
1872,Bergen,Delirium tremens,Kv.,NA,NA
1872,Bergen,Delirium tremens,Md.,1,NA
1872,Bergen,Dementia,Kv.,6,NA
1872,Bergen,Dementia,Md.,5,NA
1872,Bergen,Epilepsia,Kv.,1,NA
1872,Bergen,Epilepsia,Md.,NA,NA
1872,Bergen,Hemiplegia,Kv.,NA,NA
1872,Bergen,Hemiplegia,Md.,NA,NA
1872,Bergen,Idiotismus - acqusitus,Kv.,1,NA
1872,Bergen,Idiotismus - acqusitus,Md.,NA,NA
1872,Bergen,Idiotismus - congenitus,Kv.,NA,NA
1872,Bergen,Idiotismus - congenitus,Md.,NA,NA
1872,Bergen,Mania,Kv.,4,NA
1872,Bergen,Mania,Md.,8,NA
1872,Bergen,Melancholia,Kv.,5,NA
1872,Bergen,Melancholia,Md.,5,NA
1872,Bergen,Melancholia cum stupore,Kv.,NA,NA
1872,Bergen,Melancholia cum stupore,Md.,NA,NA
1872,Bergen,Monomania,Kv.,NA,NA
1872,Bergen,Monomania,Md.,NA,NA
1872,Bergen,Paralysis generalis,Kv.,NA,NA
1872,Bergen,Paralysis generalis,Md.,NA,NA
1872,Bergen,Stupiditas,Kv.,NA,NA
1872,Bergen,Stupiditas,Md.,1,NA
1872,Bergen,Til observasjon,Kv.,NA,NA
1872,Bergen,Til observasjon,Md.,NA,NA
1872,Gaustad,Delirium tremens,Kv.,NA,NA
1872,Gaustad,Delirium tremens,Md.,NA,NA
1872,Gaustad,Dementia,Kv.,17,NA
1872,Gaustad,Dementia,Md.,37,NA
1872,Gaustad,Epilepsia,Kv.,1,NA
1872,Gaustad,Epilepsia,Md.,3,NA
1872,Gaustad,Hemiplegia,Kv.,NA,NA
1872,Gaustad,Hemiplegia,Md.,NA,NA
1872,Gaustad,Idiotismus - acqusitus,Kv.,3,NA
1872,Gaustad,Idiotismus - acqusitus,Md.,NA,NA
1872,Gaustad,Idiotismus - congenitus,Kv.,NA,NA
1872,Gaustad,Idiotismus - congenitus,Md.,NA,NA
1872,Gaustad,Mania,Kv.,38,NA
1872,Gaustad,Mania,Md.,36,NA
1872,Gaustad,Melancholia,Kv.,44,NA
1872,Gaustad,Melancholia,Md.,38,NA
1872,Gaustad,Melancholia cum stupore,Kv.,NA,NA
1872,Gaustad,Melancholia cum stupore,Md.,NA,NA
1872,Gaustad,Monomania,Kv.,NA,NA
1872,Gaustad,Monomania,Md.,NA,NA
1872,Gaustad,Paralysis generalis,Kv.,NA,NA
1872,Gaustad,Paralysis generalis,Md.,11,NA
1872,Gaustad,Stupiditas,Kv.,1,NA
1872,Gaustad,Stupiditas,Md.,NA,NA
1872,Gaustad,Til observasjon,Kv.,NA,NA
1872,Gaustad,Til observasjon,Md.,NA,NA
1872,Kristiania,Delirium tremens,Kv.,NA,NA
1872,Kristiania,Delirium tremens,Md.,NA,NA
1872,Kristiania,Dementia,Kv.,8,NA
1872,Kristiania,Dementia,Md.,6,NA
1872,Kristiania,Epilepsia,Kv.,2,NA
1872,Kristiania,Epilepsia,Md.,1,NA
1872,Kristiania,Hemiplegia,Kv.,NA,NA
1872,Kristiania,Hemiplegia,Md.,1,NA
1872,Kristiania,Idiotismus - acqusitus,Kv.,NA,NA
1872,Kristiania,Idiotismus - acqusitus,Md.,2,NA
1872,Kristiania,Idiotismus - congenitus,Kv.,NA,NA
1872,Kristiania,Idiotismus - congenitus,Md.,2,NA
1872,Kristiania,Mania,Kv.,5,NA
1872,Kristiania,Mania,Md.,NA,NA
1872,Kristiania,Melancholia,Kv.,15,NA
1872,Kristiania,Melancholia,Md.,15,NA
1872,Kristiania,Melancholia cum stupore,Kv.,NA,NA
1872,Kristiania,Melancholia cum stupore,Md.,NA,NA
1872,Kristiania,Monomania,Kv.,NA,NA
1872,Kristiania,Monomania,Md.,NA,NA
1872,Kristiania,Paralysis generalis,Kv.,NA,NA
1872,Kristiania,Paralysis generalis,Md.,NA,NA
1872,Kristiania,Stupiditas,Kv.,NA,NA
1872,Kristiania,Stupiditas,Md.,NA,NA
1872,Kristiania,Til observasjon,Kv.,NA,NA
1872,Kristiania,Til observasjon,Md.,NA,NA
1872,Kristiansand,Delirium tremens,Kv.,NA,NA
1872,Kristiansand,Delirium tremens,Md.,NA,NA
1872,Kristiansand,Dementia,Kv.,3,NA
1872,Kristiansand,Dementia,Md.,1,NA
1872,Kristiansand,Epilepsia,Kv.,NA,NA
1872,Kristiansand,Epilepsia,Md.,NA,NA
1872,Kristiansand,Hemiplegia,Kv.,NA,NA
1872,Kristiansand,Hemiplegia,Md.,NA,NA
1872,Kristiansand,Idiotismus - acqusitus,Kv.,NA,NA
1872,Kristiansand,Idiotismus - acqusitus,Md.,NA,NA
1872,Kristiansand,Idiotismus - congenitus,Kv.,NA,NA
1872,Kristiansand,Idiotismus - congenitus,Md.,NA,NA
1872,Kristiansand,Mania,Kv.,3,NA
1872,Kristiansand,Mania,Md.,3,NA
1872,Kristiansand,Melancholia,Kv.,1,NA
1872,Kristiansand,Melancholia,Md.,NA,NA
1872,Kristiansand,Melancholia cum stupore,Kv.,NA,NA
1872,Kristiansand,Melancholia cum stupore,Md.,NA,NA
1872,Kristiansand,Monomania,Kv.,NA,NA
1872,Kristiansand,Monomania,Md.,NA,NA
1872,Kristiansand,Paralysis generalis,Kv.,NA,NA
1872,Kristiansand,Paralysis generalis,Md.,NA,NA
1872,Kristiansand,Stupiditas,Kv.,NA,NA
1872,Kristiansand,Stupiditas,Md.,NA,NA
1872,Kristiansand,Til observasjon,Kv.,NA,NA
1872,Kristiansand,Til observasjon,Md.,NA,NA
1872,Møllendal,Delirium tremens,Kv.,NA,NA
1872,Møllendal,Delirium tremens,Md.,NA,NA
1872,Møllendal,Dementia,Kv.,1,NA
1872,Møllendal,Dementia,Md.,2,NA
1872,Møllendal,Epilepsia,Kv.,NA,NA
1872,Møllendal,Epilepsia,Md.,NA,NA
1872,Møllendal,Hemiplegia,Kv.,NA,NA
1872,Møllendal,Hemiplegia,Md.,NA,NA
1872,Møllendal,Idiotismus - acqusitus,Kv.,1,NA
1872,Møllendal,Idiotismus - acqusitus,Md.,1,NA
1872,Møllendal,Idiotismus - congenitus,Kv.,NA,NA
1872,Møllendal,Idiotismus - congenitus,Md.,NA,NA
1872,Møllendal,Mania,Kv.,2,NA
1872,Møllendal,Mania,Md.,1,NA
1872,Møllendal,Melancholia,Kv.,6,NA
1872,Møllendal,Melancholia,Md.,2,NA
1872,Møllendal,Melancholia cum stupore,Kv.,NA,NA
1872,Møllendal,Melancholia cum stupore,Md.,NA,NA
1872,Møllendal,Monomania,Kv.,NA,NA
1872,Møllendal,Monomania,Md.,NA,NA
1872,Møllendal,Paralysis generalis,Kv.,NA,NA
1872,Møllendal,Paralysis generalis,Md.,NA,NA
1872,Møllendal,Stupiditas,Kv.,NA,NA
1872,Møllendal,Stupiditas,Md.,NA,NA
1872,Møllendal,Til observasjon,Kv.,NA,NA
1872,Møllendal,Til observasjon,Md.,NA,NA
1872,Oslo,Delirium tremens,Kv.,NA,NA
1872,Oslo,Delirium tremens,Md.,NA,NA
1872,Oslo,Dementia,Kv.,4,NA
1872,Oslo,Dementia,Md.,NA,NA
1872,Oslo,Epilepsia,Kv.,NA,NA
1872,Oslo,Epilepsia,Md.,NA,NA
1872,Oslo,Hemiplegia,Kv.,NA,NA
1872,Oslo,Hemiplegia,Md.,NA,NA
1872,Oslo,Idiotismus - acqusitus,Kv.,NA,NA
1872,Oslo,Idiotismus - acqusitus,Md.,NA,NA
1872,Oslo,Idiotismus - congenitus,Kv.,NA,NA
1872,Oslo,Idiotismus - congenitus,Md.,NA,NA
1872,Oslo,Mania,Kv.,3,NA
1872,Oslo,Mania,Md.,NA,NA
1872,Oslo,Melancholia,Kv.,2,NA
1872,Oslo,Melancholia,Md.,NA,NA
1872,Oslo,Melancholia cum stupore,Kv.,NA,NA
1872,Oslo,Melancholia cum stupore,Md.,NA,NA
1872,Oslo,Monomania,Kv.,NA,NA
1872,Oslo,Monomania,Md.,NA,NA
1872,Oslo,Paralysis generalis,Kv.,NA,NA
1872,Oslo,Paralysis generalis,Md.,NA,NA
1872,Oslo,Stupiditas,Kv.,NA,NA
1872,Oslo,Stupiditas,Md.,NA,NA
1872,Oslo,Til observasjon,Kv.,NA,NA
1872,Oslo,Til observasjon,Md.,NA,NA
1872,Rosenberg,Delirium tremens,Kv.,NA,NA
1872,Rosenberg,Delirium tremens,Md.,2,NA
1872,Rosenberg,Dementia,Kv.,3,NA
1872,Rosenberg,Dementia,Md.,2,NA
1872,Rosenberg,Epilepsia,Kv.,1,NA
1872,Rosenberg,Epilepsia,Md.,NA,NA
1872,Rosenberg,Hemiplegia,Kv.,NA,NA
1872,Rosenberg,Hemiplegia,Md.,NA,NA
1872,Rosenberg,Idiotismus - acqusitus,Kv.,1,NA
1872,Rosenberg,Idiotismus - acqusitus,Md.,NA,NA
1872,Rosenberg,Idiotismus - congenitus,Kv.,2,NA
1872,Rosenberg,Idiotismus - congenitus,Md.,NA,NA
1872,Rosenberg,Mania,Kv.,4,NA
1872,Rosenberg,Mania,Md.,8,NA
1872,Rosenberg,Melancholia,Kv.,4,NA
1872,Rosenberg,Melancholia,Md.,5,NA
1872,Rosenberg,Melancholia cum stupore,Kv.,NA,NA
1872,Rosenberg,Melancholia cum stupore,Md.,NA,NA
1872,Rosenberg,Monomania,Kv.,NA,NA
1872,Rosenberg,Monomania,Md.,NA,NA
1872,Rosenberg,Paralysis generalis,Kv.,NA,NA
1872,Rosenberg,Paralysis generalis,Md.,NA,NA
1872,Rosenberg,Stupiditas,Kv.,NA,NA
1872,Rosenberg,Stupiditas,Md.,NA,NA
1872,Rosenberg,Til observasjon,Kv.,NA,NA
1872,Rosenberg,Til observasjon,Md.,NA,NA
1872,Rotvoll,Delirium tremens,Kv.,NA,NA
1872,Rotvoll,Delirium tremens,Md.,NA,NA
1872,Rotvoll,Dementia,Kv.,6,NA
1872,Rotvoll,Dementia,Md.,12,NA
1872,Rotvoll,Epilepsia,Kv.,2,NA
1872,Rotvoll,Epilepsia,Md.,2,NA
1872,Rotvoll,Hemiplegia,Kv.,NA,NA
1872,Rotvoll,Hemiplegia,Md.,NA,NA
1872,Rotvoll,Idiotismus - acqusitus,Kv.,NA,NA
1872,Rotvoll,Idiotismus - acqusitus,Md.,NA,NA
1872,Rotvoll,Idiotismus - congenitus,Kv.,2,NA
1872,Rotvoll,Idiotismus - congenitus,Md.,3,NA
1872,Rotvoll,Mania,Kv.,15,NA
1872,Rotvoll,Mania,Md.,17,NA
1872,Rotvoll,Melancholia,Kv.,39,NA
1872,Rotvoll,Melancholia,Md.,30,NA
1872,Rotvoll,Melancholia cum stupore,Kv.,1,NA
1872,Rotvoll,Melancholia cum stupore,Md.,1,NA
1872,Rotvoll,Monomania,Kv.,2,NA
1872,Rotvoll,Monomania,Md.,4,NA
1872,Rotvoll,Paralysis generalis,Kv.,NA,NA
1872,Rotvoll,Paralysis generalis,Md.,1,NA
1872,Rotvoll,Stupiditas,Kv.,NA,NA
1872,Rotvoll,Stupiditas,Md.,NA,NA
1872,Rotvoll,Til observasjon,Kv.,1,NA
1872,Rotvoll,Til observasjon,Md.,2,NA
1872,Stavanger,Delirium tremens,Kv.,NA,NA
1872,Stavanger,Delirium tremens,Md.,NA,NA
1872,Stavanger,Dementia,Kv.,NA,NA
1872,Stavanger,Dementia,Md.,NA,NA
1872,Stavanger,Epilepsia,Kv.,NA,NA
1872,Stavanger,Epilepsia,Md.,NA,NA
1872,Stavanger,Hemiplegia,Kv.,NA,NA
1872,Stavanger,Hemiplegia,Md.,NA,NA
1872,Stavanger,Idiotismus - acqusitus,Kv.,NA,NA
1872,Stavanger,Idiotismus - acqusitus,Md.,NA,NA
1872,Stavanger,Idiotismus - congenitus,Kv.,NA,NA
1872,Stavanger,Idiotismus - congenitus,Md.,NA,NA
1872,Stavanger,Mania,Kv.,NA,NA
1872,Stavanger,Mania,Md.,1,NA
1872,Stavanger,Melancholia,Kv.,1,NA
1872,Stavanger,Melancholia,Md.,1,NA
1872,Stavanger,Melancholia cum stupore,Kv.,NA,NA
1872,Stavanger,Melancholia cum stupore,Md.,NA,NA
1872,Stavanger,Monomania,Kv.,NA,NA
1872,Stavanger,Monomania,Md.,NA,NA
1872,Stavanger,Paralysis generalis,Kv.,NA,NA
1872,Stavanger,Paralysis generalis,Md.,NA,NA
